arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
src/supervision/annotators/base.py,1,1.0,1,1,A,BaseAnnotator,annotate,9
src/supervision/geometry/core.py,11,1.0,1,11,A,Position,list,25
src/supervision/metrics/core.py,3,1.0,1,3,A,Metric,update,14
src/supervision/tracker/byte_tracker/utils.py,4,1.25,2,5,A,IdCounter,__init__,5
src/supervision/detection/tools/polygon_zone.py,22,1.27,4,28,A,PolygonZoneAnnotator,annotate,242
src/supervision/tracker/byte_tracker/kalman_filter.py,6,1.33,2,8,A,KalmanFilter,__init__,21
src/supervision/assets/list.py,2,1.5,2,3,A,Assets,list,19
src/supervision/tracker/byte_tracker/single_object_track.py,37,1.57,7,58,B,STrack,multi_predict,165
src/supervision/utils/conversion.py,12,1.67,3,20,A,,images_to_cv2,127
src/supervision/detection/utils/boxes.py,9,1.89,4,17,A,,spread_out_boxes,347
src/supervision/classification/core.py,8,2.0,4,16,A,,_validate_confidence,22
src/supervision/metrics/utils/utils.py,1,2.0,2,2,A,,ensure_pandas_installed,1
src/supervision/draw/color.py,30,2.2,8,66,B,Color,from_hex,106
src/supervision/utils/internal.py,8,2.38,8,19,B,,get_instance_variables,169
src/supervision/draw/utils.py,10,2.4,9,24,B,,draw_image,301
src/supervision/detection/utils/converters.py,19,2.47,6,47,B,,_base48_decode,332
src/supervision/dataset/utils.py,8,2.62,4,21,A,,map_detections_class_id,108
src/supervision/utils/iterables.py,3,2.67,4,8,A,,create_batches,7
src/supervision/detection/tools/transformers.py,8,2.75,5,22,A,,process_transformers_v4_segmentation_result,43
src/supervision/utils/video.py,24,2.83,9,68,B,,_validate_and_setup_video,207
src/supervision/detection/tools/inference_slicer.py,31,2.9,12,90,C,InferenceSlicer,_run_callback,443
src/supervision/detection/tools/json_sink.py,9,3.0,10,27,B,JSONSink,parse_detection_data,148
src/supervision/geometry/utils.py,1,3.0,3,3,A,,get_polygon_center,7
src/supervision/utils/logger.py,1,3.0,3,3,A,,_get_logger,8
src/supervision/validators/__init__.py,25,3.04,9,76,B,,_validate_data,191
src/supervision/detection/tools/csv_sink.py,10,3.1,9,31,B,CSVSink,parse_detection_data,145
src/supervision/annotators/core.py,88,3.18,11,280,C,PercentageBarAnnotator,calculate_border_coordinates,2795
src/supervision/metrics/mean_average_recall.py,27,3.3,11,89,C,MeanAverageRecall,_compute,468
src/supervision/detection/line_zone.py,21,3.38,12,71,C,LineZone,trigger,192
src/supervision/utils/file.py,8,3.38,12,27,C,,list_files_with_extensions,22
src/supervision/utils/image.py,23,3.39,9,78,B,,create_tiles,565
src/supervision/detection/utils/masks.py,10,3.4,6,34,B,,filter_segments_by_distance,344
src/supervision/metrics/recall.py,26,3.46,11,90,C,Recall,_compute,285
src/supervision/tracker/byte_tracker/matching.py,4,3.5,8,14,B,,iou_distance,44
src/supervision/dataset/core.py,27,3.52,13,95,C,DetectionDataset,merge,231
src/supervision/annotators/utils.py,18,3.56,11,64,C,,resolve_text_background_xyxy,80
src/supervision/metrics/f1_score.py,26,3.65,15,95,C,F1Score,_compute,152
src/supervision/tracker/byte_tracker/core.py,17,3.82,7,65,B,,remove_duplicate_tracks,518
src/supervision/assets/downloader.py,2,4.0,6,8,B,,download_assets,41
src/supervision/metrics/utils/object_size.py,5,4.0,6,20,B,,get_detection_size_category,214
src/supervision/detection/compact_mask.py,25,4.04,12,101,C,,_rle_split_cols,49
src/supervision/metrics/precision.py,25,4.04,15,101,C,Precision,_compute,463
src/supervision/detection/utils/iou_and_nms.py,34,4.24,14,144,C,,mask_iou_batch,744
src/supervision/detection/utils/vlms.py,2,4.5,6,9,B,,edit_distance,4
src/supervision/dataset/formats/coco.py,13,4.54,9,59,B,,coco_annotations_to_detections,146
src/supervision/metrics/detection.py,22,4.55,15,100,C,ConfusionMatrix,plot,688
src/supervision/dataset/formats/yolo.py,14,4.64,14,65,C,,_extract_class_names,70
src/supervision/detection/core.py,45,4.78,20,215,C,Detections,from_vlm,1431
src/supervision/dataset/formats/pascal_voc.py,7,4.86,12,34,C,,detections_from_xml_obj,235
src/supervision/key_points/annotators.py,20,5.15,16,103,C,EdgeAnnotator,annotate,141
src/supervision/metrics/mean_average_precision.py,49,5.24,28,257,D,COCOEvaluator,_evaluate_image,822
src/supervision/key_points/core.py,26,5.35,17,139,C,KeyPoints,_normalize_getitem_index,925
src/supervision/utils/notebook.py,2,6.0,9,12,B,,plot_images_grid,50
src/supervision/detection/vlm.py,22,6.05,16,133,C,,from_qwen_2_5_vl,305
src/supervision/detection/tools/smoother.py,4,6.5,9,26,B,DetectionsSmoother,get_track,133
src/supervision/detection/utils/internal.py,12,6.75,15,81,C,,process_roboflow_result,81
src/supervision/detection/utils/polygons.py,2,8.0,9,16,B,,filter_polygons_by_area,8
src/supervision/key_points/skeletons.py,0,,,,,,,
