arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
src/supervision/annotators/__init__.py,0,0,0,0,0,0,0
src/supervision/classification/__init__.py,0,0,0,0,0,0,0
src/supervision/dataset/__init__.py,0,0,0,0,0,0,0
src/supervision/dataset/formats/__init__.py,0,0,0,0,0,0,0
src/supervision/detection/__init__.py,0,0,0,0,0,0,0
src/supervision/detection/tools/__init__.py,0,0,0,0,0,0,0
src/supervision/detection/utils/__init__.py,0,0,0,0,0,0,0
src/supervision/draw/__init__.py,0,0,0,0,0,0,0
src/supervision/geometry/__init__.py,0,0,0,0,0,0,0
src/supervision/key_points/__init__.py,0,0,0,0,0,0,0
src/supervision/metrics/utils/__init__.py,0,0,0,0,0,0,0
src/supervision/tracker/__init__.py,0,0,0,0,0,0,0
src/supervision/tracker/byte_tracker/__init__.py,0,0,0,0,0,0,0
src/supervision/utils/__init__.py,0,0,0,0,0,0,0
src/supervision/config.py,13,6,3,10,0,0,10
src/supervision/assets/__init__.py,4,3,3,0,0,1,0
src/supervision/draw/base.py,14,6,5,0,6,3,0
src/supervision/keypoint/core.py,8,3,6,1,0,2,0
src/supervision/annotators/base.py,12,7,9,0,0,3,0
src/supervision/metrics/utils/utils.py,9,5,9,1,0,0,0
src/supervision/keypoint/annotators.py,13,3,11,1,0,2,0
src/supervision/keypoint/__init__.py,13,4,11,0,0,2,0
src/supervision/geometry/utils.py,51,15,14,2,23,12,2
src/supervision/tracker/byte_tracker/utils.py,37,19,16,0,12,8,1
src/supervision/metrics/core.py,72,28,22,0,35,15,0
src/supervision/utils/logger.py,63,24,25,0,23,15,0
src/supervision/utils/iterables.py,103,30,28,0,56,19,0
src/supervision/detection/utils/vlms.py,100,26,33,0,51,16,0
src/supervision/detection/utils/polygons.py,116,29,37,2,57,20,2
src/supervision/metrics/__init__.py,40,8,39,0,0,1,0
src/supervision/utils/notebook.py,117,36,45,0,50,22,0
src/supervision/assets/downloader.py,95,42,46,0,25,24,0
src/supervision/detection/tools/smoother.py,184,57,58,6,82,38,6
src/supervision/tracker/byte_tracker/matching.py,75,45,58,0,0,17,0
src/supervision/classification/core.py,200,64,60,0,94,46,0
src/supervision/assets/list.py,82,35,66,2,0,16,0
src/supervision/utils/file.py,211,72,67,2,104,40,0
src/supervision/geometry/core.py,202,82,77,0,86,39,0
src/supervision/utils/internal.py,208,57,77,0,90,41,0
src/supervision/metrics/utils/object_size.py,241,85,86,1,110,44,1
src/supervision/detection/tools/json_sink.py,215,71,87,0,92,36,0
src/supervision/utils/conversion.py,178,74,92,5,41,43,2
src/supervision/detection/utils/boxes.py,417,100,108,5,234,71,4
src/supervision/detection/tools/transformers.py,250,68,109,0,100,41,0
src/supervision/tracker/byte_tracker/kalman_filter.py,193,65,113,0,49,31,0
src/supervision/detection/tools/csv_sink.py,241,85,116,0,88,37,0
src/supervision/dataset/utils.py,164,80,117,3,10,34,3
src/supervision/detection/tools/polygon_zone.py,290,126,171,0,70,49,0
src/supervision/detection/utils/converters.py,738,195,189,6,399,146,4
src/supervision/dataset/formats/pascal_voc.py,355,155,197,15,88,55,15
src/supervision/draw/utils.py,420,94,209,6,140,65,6
src/supervision/draw/color.py,572,166,217,3,237,118,0
src/supervision/tracker/byte_tracker/single_object_track.py,288,223,220,0,15,52,1
src/supervision/annotators/utils.py,487,195,266,5,129,90,2
src/supervision/detection/utils/internal.py,431,193,277,1,78,75,1
src/supervision/__init__.py,287,39,283,1,0,3,1
src/supervision/validators/__init__.py,363,151,291,15,8,61,3
src/supervision/dataset/formats/yolo.py,477,185,319,2,99,57,2
src/supervision/detection/utils/masks.py,475,161,341,7,54,73,7
src/supervision/utils/video.py,560,242,346,2,136,78,0
src/supervision/dataset/formats/coco.py,648,201,357,13,187,91,13
src/supervision/tracker/byte_tracker/core.py,540,260,388,4,63,84,5
src/supervision/detection/tools/inference_slicer.py,639,286,430,4,107,98,4
src/supervision/dataset/core.py,969,267,448,2,389,128,4
src/supervision/key_points/annotators.py,972,332,471,0,380,117,4
src/supervision/detection/compact_mask.py,1306,434,477,68,545,224,60
src/supervision/metrics/recall.py,768,368,492,3,155,115,6
src/supervision/metrics/f1_score.py,793,380,500,12,166,112,15
src/supervision/metrics/mean_average_recall.py,793,371,507,5,158,120,8
src/supervision/metrics/precision.py,826,387,520,11,168,121,17
src/supervision/detection/line_zone.py,944,341,586,2,224,132,2
src/supervision/metrics/detection.py,1148,374,588,6,415,136,9
src/supervision/detection/vlm.py,986,425,618,10,190,171,7
src/supervision/utils/image.py,924,280,653,8,145,126,0
src/supervision/detection/utils/iou_and_nms.py,1461,532,703,40,502,218,38
src/supervision/key_points/core.py,1342,371,754,11,359,223,6
src/supervision/metrics/mean_average_precision.py,1697,751,1140,93,216,238,103
src/supervision/detection/core.py,2960,618,1758,21,640,550,12
src/supervision/annotators/core.py,3382,1092,1811,28,1127,426,18
src/supervision/key_points/skeletons.py,2646,15,2636,0,0,10,0
TOTAL,35428,11544,20816,445,9107,5101,404
