arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
src/supervision/annotators/base.py,1,1.0,1,1,A,BaseAnnotator,annotate,9
src/supervision/geometry/core.py,11,1.0,1,11,A,Position,list,25
src/supervision/metrics/core.py,3,1.0,1,3,A,Metric,update,14
src/supervision/tracker/byte_tracker/utils.py,4,1.25,2,5,A,IdCounter,__init__,5
src/supervision/tracker/byte_tracker/kalman_filter.py,6,1.33,2,8,A,KalmanFilter,__init__,21
src/supervision/assets/list.py,2,1.5,2,3,A,Assets,list,19
src/supervision/utils/conversion.py,12,1.67,3,20,A,,images_to_cv2,127
src/supervision/detection/utils/boxes.py,9,1.89,4,17,A,,spread_out_boxes,347
src/supervision/classification/core.py,8,2.0,4,16,A,,_validate_confidence,22
src/supervision/metrics/utils/utils.py,1,2.0,2,2,A,,ensure_pandas_installed,1
src/supervision/draw/color.py,30,2.2,8,66,B,Color,from_hex,106
src/supervision/utils/internal.py,8,2.38,8,19,B,,get_instance_variables,169
src/supervision/draw/utils.py,10,2.4,9,24,B,,draw_image,301
src/supervision/detection/utils/converters.py,19,2.47,6,47,B,,_base48_decode,332
src/supervision/detection/tools/polygon_zone.py,4,2.5,4,10,A,PolygonZoneAnnotator,annotate,155
src/supervision/dataset/utils.py,8,2.62,4,21,A,,map_detections_class_id,108
src/supervision/tracker/byte_tracker/single_object_track.py,13,2.62,7,34,B,STrack,multi_predict,63
src/supervision/utils/iterables.py,3,2.67,4,8,A,,create_batches,7
src/supervision/detection/tools/transformers.py,8,2.75,5,22,A,,process_transformers_v4_segmentation_result,43
src/supervision/detection/tools/json_sink.py,9,3.0,10,27,B,JSONSink,parse_detection_data,148
src/supervision/geometry/utils.py,1,3.0,3,3,A,,get_polygon_center,7
src/supervision/utils/logger.py,1,3.0,3,3,A,,_get_logger,8
src/supervision/validators/__init__.py,25,3.04,9,76,B,,_validate_data,191
src/supervision/detection/tools/csv_sink.py,10,3.1,9,31,B,CSVSink,parse_detection_data,145
src/supervision/utils/file.py,8,3.38,12,27,C,,list_files_with_extensions,22
src/supervision/utils/image.py,23,3.39,9,78,B,,create_tiles,565
src/supervision/tracker/byte_tracker/matching.py,4,3.5,8,14,B,,iou_distance,44
src/supervision/dataset/core.py,27,3.52,13,95,C,DetectionDataset,merge,231
src/supervision/annotators/utils.py,18,3.56,11,64,C,,resolve_text_background_xyxy,80
src/supervision/detection/line_zone.py,18,3.72,12,67,C,LineZoneAnnotatorMulticlass,annotate,769
src/supervision/annotators/core.py,70,3.74,11,262,C,PercentageBarAnnotator,calculate_border_coordinates,2722
src/supervision/utils/video.py,16,3.75,16,60,C,,process_video,283
src/supervision/metrics/mean_average_recall.py,19,3.84,11,73,C,MeanAverageRecall,_compute,381
src/supervision/assets/downloader.py,2,4.0,6,8,B,,download_assets,41
src/supervision/metrics/utils/object_size.py,5,4.0,6,20,B,,get_detection_size_category,214
src/supervision/detection/compact_mask.py,25,4.04,12,101,C,,_rle_split_cols,49
src/supervision/metrics/recall.py,18,4.11,11,74,C,Recall,_compute,155
src/supervision/metrics/f1_score.py,18,4.39,15,79,C,F1Score,_compute,152
src/supervision/metrics/precision.py,18,4.39,15,79,C,Precision,_compute,155
src/supervision/detection/utils/masks.py,7,4.43,12,31,C,,filter_segments_by_distance,291
src/supervision/detection/utils/iou_and_nms.py,32,4.47,20,143,C,,oriented_box_iou_batch,426
src/supervision/detection/utils/vlms.py,2,4.5,6,9,B,,edit_distance,4
src/supervision/dataset/formats/yolo.py,14,4.64,14,65,C,,_extract_class_names,70
src/supervision/dataset/formats/pascal_voc.py,7,4.86,12,34,C,,detections_from_xml_obj,235
src/supervision/key_points/annotators.py,20,5.15,16,103,C,EdgeAnnotator,annotate,141
src/supervision/dataset/formats/coco.py,11,5.18,15,57,C,,detections_to_coco_annotations,217
src/supervision/detection/core.py,40,5.35,20,214,C,Detections,from_vlm,1461
src/supervision/metrics/detection.py,17,5.53,22,94,D,ConfusionMatrix,evaluate_detection_batch,414
src/supervision/utils/notebook.py,2,6.0,9,12,B,,plot_images_grid,50
src/supervision/key_points/core.py,22,6.14,39,135,E,KeyPoints,__getitem__,925
src/supervision/detection/tools/smoother.py,4,6.5,9,26,B,DetectionsSmoother,get_track,133
src/supervision/detection/tools/inference_slicer.py,9,6.78,17,61,C,InferenceSlicer,__call__,178
src/supervision/tracker/byte_tracker/core.py,7,6.86,26,48,D,ByteTrack,update_with_tensors,173
src/supervision/metrics/mean_average_precision.py,32,7.03,29,225,D,COCOEvaluator,_accumulate,825
src/supervision/detection/utils/polygons.py,2,8.0,9,16,B,,filter_polygons_by_area,8
src/supervision/detection/vlm.py,15,8.67,33,130,E,,from_google_gemini_2_5,678
src/supervision/detection/utils/internal.py,8,10.12,22,81,D,,process_roboflow_result,54
src/supervision/key_points/skeletons.py,0,,,,,,,
