arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
src/supervision/annotators/base.py,method,BaseAnnotator,annotate,A,1,9,12
src/supervision/annotators/core.py,function,,_normalize_color_input,A,1,58,58
src/supervision/annotators/core.py,function,,_normalize_color_input,A,1,62,64
src/supervision/annotators/core.py,method,_BaseLabelAnnotator,__init__,A,1,103,145
src/supervision/annotators/core.py,method,BoxAnnotator,__init__,A,1,195,211
src/supervision/annotators/core.py,method,OrientedBoxAnnotator,__init__,A,1,282,298
src/supervision/annotators/core.py,method,MaskAnnotator,__init__,A,1,432,448
src/supervision/annotators/core.py,method,PolygonAnnotator,__init__,A,1,520,536
src/supervision/annotators/core.py,method,ColorAnnotator,__init__,A,1,611,627
src/supervision/annotators/core.py,method,HaloAnnotator,__init__,A,1,707,727
src/supervision/annotators/core.py,method,EllipseAnnotator,__init__,A,1,805,827
src/supervision/annotators/core.py,method,BoxCornerAnnotator,__init__,A,1,904,923
src/supervision/annotators/core.py,method,CircleAnnotator,__init__,A,1,999,1016
src/supervision/annotators/core.py,method,DotAnnotator,__init__,A,1,1092,1119
src/supervision/annotators/core.py,method,LabelAnnotator,__init__,A,1,1202,1248
src/supervision/annotators/core.py,method,RichLabelAnnotator,__init__,A,1,1518,1565
src/supervision/annotators/core.py,method,IconAnnotator,__init__,A,1,1793,1809
src/supervision/annotators/core.py,method,TraceAnnotator,__init__,A,1,1985,2014
src/supervision/annotators/core.py,method,HeatMapAnnotator,__init__,A,1,2126,2152
src/supervision/annotators/core.py,method,TriangleAnnotator,__init__,A,1,2331,2361
src/supervision/annotators/core.py,method,PercentageBarAnnotator,validate_custom_values,A,1,2783,2787
src/supervision/annotators/core.py,method,CropAnnotator,__init__,A,1,2795,2820
src/supervision/annotators/core.py,method,BackgroundOverlayAnnotator,__init__,A,1,2960,2975
src/supervision/annotators/core.py,method,ComparisonAnnotator,__init__,A,1,3043,3078
src/supervision/annotators/utils.py,function,,validate_labels,A,1,231,232
src/supervision/annotators/utils.py,function,,snap_boxes,A,1,266,329
src/supervision/annotators/utils.py,function,,is_valid_hex,A,1,430,441
src/supervision/annotators/utils.py,function,,calculate_dynamic_kernel_size,A,1,444,464
src/supervision/annotators/utils.py,function,,calculate_dynamic_pixel_size,A,1,467,487
src/supervision/annotators/utils.py,method,ColorLookup,list,A,1,36,37
src/supervision/annotators/utils.py,method,Trace,__init__,A,1,333,345
src/supervision/annotators/utils.py,method,Trace,get,A,1,377,381
src/supervision/assets/list.py,method,Assets,__new__,A,1,11,16
src/supervision/classification/core.py,method,Classifications,__post_init__,A,1,37,44
src/supervision/classification/core.py,method,Classifications,__len__,A,1,46,50
src/supervision/classification/core.py,method,Classifications,from_ultralytics,A,1,93,118
src/supervision/dataset/core.py,function,,is_lazy,A,1,282,283
src/supervision/dataset/core.py,method,BaseDataset,__len__,A,1,43,44
src/supervision/dataset/core.py,method,BaseDataset,split,A,1,47,53
src/supervision/dataset/core.py,method,DetectionDataset,__getitem__,A,1,113,122
src/supervision/dataset/core.py,method,DetectionDataset,from_pascal_voc,A,1,388,438
src/supervision/dataset/core.py,method,DetectionDataset,from_yolo,A,1,442,501
src/supervision/dataset/core.py,method,DetectionDataset,from_coco,A,1,578,624
src/supervision/dataset/core.py,method,ClassificationDataset,__getitem__,A,1,778,787
src/supervision/dataset/utils.py,function,,mask_to_rle,A,1,30,34
src/supervision/dataset/utils.py,function,,rle_to_mask,A,1,38,43
src/supervision/dataset/formats/coco.py,function,,_with_seg_mask,A,1,503,504
src/supervision/dataset/formats/pascal_voc.py,function,,_with_poly_mask,A,1,335,336
src/supervision/dataset/formats/yolo.py,function,,_parse_box,A,1,28,37
src/supervision/dataset/formats/yolo.py,function,,_box_to_polygon,A,1,41,43
src/supervision/dataset/formats/yolo.py,function,,_parse_polygon,A,1,47,48
src/supervision/dataset/formats/yolo.py,function,,_image_name_to_annotation_name,A,1,133,135
src/supervision/dataset/formats/yolo.py,function,,save_data_yaml,A,1,474,477
src/supervision/detection/compact_mask.py,function,,_rle_area,A,1,27,46
src/supervision/detection/compact_mask.py,method,CompactMask,__init__,A,1,459,469
src/supervision/detection/compact_mask.py,method,CompactMask,crop,A,1,587,614
src/supervision/detection/compact_mask.py,method,CompactMask,__len__,A,1,620,638
src/supervision/detection/compact_mask.py,method,CompactMask,shape,A,1,646,665
src/supervision/detection/compact_mask.py,method,CompactMask,offsets,A,1,668,687
src/supervision/detection/compact_mask.py,method,CompactMask,dtype,A,1,723,741
src/supervision/detection/core.py,function,,_merge_obb_corners,A,1,2635,2675
src/supervision/detection/core.py,function,,merge_inner_detections_objects_without_iou,A,1,2888,2899
src/supervision/detection/core.py,function,,validate_fields_both_defined_or_none,A,1,2931,2934
src/supervision/detection/core.py,method,Detections,__post_init__,A,1,164,171
src/supervision/detection/core.py,method,Detections,__len__,A,1,174,178
src/supervision/detection/core.py,method,Detections,from_yolov5,A,1,222,250
src/supervision/detection/core.py,method,Detections,from_tensorflow,A,1,373,414
src/supervision/detection/core.py,method,Detections,empty,A,1,2065,2083
src/supervision/detection/core.py,method,Detections,is_empty,A,1,2086,2108
src/supervision/detection/core.py,method,Detections,box_area,A,1,2415,2424
src/supervision/detection/core.py,method,Detections,box_aspect_ratio,A,1,2427,2461
src/supervision/detection/line_zone.py,method,LineZone,in_count,A,1,130,131
src/supervision/detection/line_zone.py,method,LineZone,out_count,A,1,134,135
src/supervision/detection/line_zone.py,method,LineZone,in_count_per_class,A,1,138,139
src/supervision/detection/line_zone.py,method,LineZone,out_count_per_class,A,1,142,143
src/supervision/detection/vlm.py,function,,validate_vlm_parameters,A,1,211,212
src/supervision/detection/vlm.py,function,,from_qwen_3_vl,A,1,397,420
src/supervision/detection/tools/csv_sink.py,method,WriterProtocol,writerow,A,1,28,28
src/supervision/detection/tools/csv_sink.py,method,CSVSink,__init__,A,1,75,86
src/supervision/detection/tools/csv_sink.py,method,CSVSink,__enter__,A,1,88,90
src/supervision/detection/tools/csv_sink.py,method,CSVSink,__exit__,A,1,92,98
src/supervision/detection/tools/inference_slicer.py,method,InferenceSlicer,_generate_offset,A,1,389,450
src/supervision/detection/tools/json_sink.py,method,JSONSink,__init__,A,1,51,60
src/supervision/detection/tools/json_sink.py,method,JSONSink,__enter__,A,1,62,64
src/supervision/detection/tools/json_sink.py,method,JSONSink,__exit__,A,1,66,72
src/supervision/detection/tools/json_sink.py,method,JSONSink,append,A,1,200,215
src/supervision/detection/tools/polygon_zone.py,method,PolygonZoneAnnotator,__init__,A,1,131,153
src/supervision/detection/tools/smoother.py,method,DetectionsSmoother,__init__,A,1,90,97
src/supervision/detection/tools/transformers.py,function,,process_transformers_detection_result,A,1,14,39
src/supervision/detection/tools/transformers.py,function,,png_string_to_segmentation_array,A,1,207,221
src/supervision/detection/utils/boxes.py,function,,clip_boxes,A,1,10,49
src/supervision/detection/utils/boxes.py,function,,denormalize_boxes,A,1,105,161
src/supervision/detection/utils/boxes.py,function,,move_boxes,A,1,164,192
src/supervision/detection/utils/boxes.py,function,,move_oriented_boxes,A,1,195,241
src/supervision/detection/utils/boxes.py,function,,scale_boxes,A,1,312,344
src/supervision/detection/utils/converters.py,function,,xyxy_to_polygons,A,1,12,28
src/supervision/detection/utils/converters.py,function,,polygon_to_mask,A,1,31,49
src/supervision/detection/utils/converters.py,function,,xywh_to_xyxy,A,1,52,82
src/supervision/detection/utils/converters.py,function,,xyxy_to_xywh,A,1,85,116
src/supervision/detection/utils/converters.py,function,,xcycwh_to_xyxy,A,1,119,152
src/supervision/detection/utils/converters.py,function,,is_compressed_rle,A,1,471,494
src/supervision/detection/utils/converters.py,function,,polygon_to_xyxy,A,1,724,738
src/supervision/detection/utils/internal.py,function,,cross_product,A,1,396,416
src/supervision/detection/utils/iou_and_nms.py,function,,group_within,A,1,1445,1450
src/supervision/detection/utils/iou_and_nms.py,function,,_polygon_areas,A,1,363,375
src/supervision/detection/utils/iou_and_nms.py,function,,_aabb_envelopes,A,1,378,390
src/supervision/detection/utils/iou_and_nms.py,function,,_overlapping_envelope_pairs,A,1,394,423
src/supervision/detection/utils/iou_and_nms.py,function,,_group_overlapping_boxes,A,1,1169,1202
src/supervision/detection/utils/iou_and_nms.py,function,,iou_against_candidate,A,1,1192,1198
src/supervision/detection/utils/iou_and_nms.py,function,,box_non_max_merge,A,1,1206,1235
src/supervision/detection/utils/iou_and_nms.py,function,,group_within,A,1,1230,1232
src/supervision/detection/utils/iou_and_nms.py,function,,_group_overlapping_oriented_boxes,A,1,1333,1354
src/supervision/detection/utils/iou_and_nms.py,function,,iou_against_candidate,A,1,1344,1350
src/supervision/detection/utils/iou_and_nms.py,method,OverlapFilter,list,A,1,35,36
src/supervision/detection/utils/iou_and_nms.py,method,OverlapMetric,list,A,1,71,72
src/supervision/detection/utils/masks.py,function,,sum_over_mask,A,1,137,140
src/supervision/detection/utils/masks.py,function,,resize_masks,A,1,263,288
src/supervision/draw/color.py,method,Color,as_rgb,A,1,287,302
src/supervision/draw/color.py,method,Color,as_bgr,A,1,304,319
src/supervision/draw/color.py,method,Color,as_rgba,A,1,321,336
src/supervision/draw/color.py,method,Color,as_bgra,A,1,338,353
src/supervision/draw/color.py,method,Color,WHITE,A,1,356,357
src/supervision/draw/color.py,method,Color,BLACK,A,1,360,361
src/supervision/draw/color.py,method,Color,GREY,A,1,364,365
src/supervision/draw/color.py,method,Color,RED,A,1,368,369
src/supervision/draw/color.py,method,Color,GREEN,A,1,372,373
src/supervision/draw/color.py,method,Color,BLUE,A,1,376,377
src/supervision/draw/color.py,method,Color,YELLOW,A,1,380,381
src/supervision/draw/color.py,method,Color,ROBOFLOW,A,1,384,385
src/supervision/draw/color.py,method,Color,__hash__,A,1,387,388
src/supervision/draw/color.py,method,ColorPalette,DEFAULT,A,1,410,428
src/supervision/draw/color.py,method,ColorPalette,ROBOFLOW,A,1,431,449
src/supervision/draw/color.py,method,ColorPalette,LEGACY,A,1,452,453
src/supervision/draw/color.py,method,ColorPalette,__len__,A,1,537,544
src/supervision/draw/utils.py,function,,draw_line,A,1,14,41
src/supervision/draw/utils.py,function,,draw_rectangle,A,1,44,69
src/supervision/draw/utils.py,function,,draw_polygon,A,1,166,186
src/supervision/draw/utils.py,function,,calculate_optimal_text_scale,A,1,371,393
src/supervision/geometry/core.py,method,Position,list,A,1,25,26
src/supervision/geometry/core.py,method,Point,as_xy_int_tuple,A,1,53,60
src/supervision/geometry/core.py,method,Point,as_xy_float_tuple,A,1,62,69
src/supervision/geometry/core.py,method,Vector,magnitude,A,1,99,108
src/supervision/geometry/core.py,method,Vector,center,A,1,111,120
src/supervision/geometry/core.py,method,Vector,cross_product,A,1,123,142
src/supervision/geometry/core.py,method,Rect,from_xyxy,A,1,176,178
src/supervision/geometry/core.py,method,Rect,top_left,A,1,181,182
src/supervision/geometry/core.py,method,Rect,bottom_right,A,1,185,186
src/supervision/geometry/core.py,method,Rect,pad,A,1,188,193
src/supervision/geometry/core.py,method,Rect,as_xyxy_int_tuple,A,1,196,201
src/supervision/key_points/annotators.py,method,BaseKeyPointAnnotator,annotate,A,1,26,27
src/supervision/key_points/annotators.py,method,VertexAnnotator,__init__,A,1,37,48
src/supervision/key_points/annotators.py,method,EdgeAnnotator,__init__,A,1,117,138
src/supervision/key_points/annotators.py,method,VertexEllipseAreaAnnotator,__init__,A,1,383,403
src/supervision/key_points/annotators.py,method,VertexEllipseOutlineAnnotator,__init__,A,1,482,501
src/supervision/key_points/annotators.py,method,VertexEllipseHaloAnnotator,__init__,A,1,583,603
src/supervision/key_points/annotators.py,method,VertexLabelAnnotator,__init__,A,1,709,738
src/supervision/key_points/annotators.py,method,VertexLabelAnnotator,get_text_bounding_box,A,1,908,926
src/supervision/key_points/core.py,method,KeyPoints,__post_init__,A,1,298,305
src/supervision/key_points/core.py,method,KeyPoints,confidence,A,1,309,315
src/supervision/key_points/core.py,method,KeyPoints,confidence,A,1,318,323
src/supervision/key_points/core.py,method,KeyPoints,__len__,A,1,325,343
src/supervision/key_points/core.py,method,KeyPoints,empty,A,1,1098,1114
src/supervision/key_points/core.py,method,KeyPoints,is_empty,A,1,1116,1134
src/supervision/metrics/core.py,method,Metric,update,A,1,14,19
src/supervision/metrics/core.py,method,Metric,reset,A,1,22,26
src/supervision/metrics/core.py,method,Metric,compute,A,1,29,33
src/supervision/metrics/detection.py,function,,validate_input_tensors,A,1,192,196
src/supervision/metrics/f1_score.py,method,F1Score,__init__,A,1,66,83
src/supervision/metrics/f1_score.py,method,F1Score,reset,A,1,85,90
src/supervision/metrics/f1_score.py,method,F1Score,compute,A,1,123,150
src/supervision/metrics/f1_score.py,method,F1ScoreResult,f1_50,A,1,546,547
src/supervision/metrics/f1_score.py,method,F1ScoreResult,f1_75,A,1,550,551
src/supervision/metrics/mean_average_precision.py,function,,compute_average_precision,A,1,1010,1032
src/supervision/metrics/mean_average_precision.py,function,,mean_with_mask,A,1,1017,1028
src/supervision/metrics/mean_average_precision.py,function,,_summarize_predictions,A,1,1145,1187
src/supervision/metrics/mean_average_precision.py,method,MeanAveragePrecisionResult,map50,A,1,69,71
src/supervision/metrics/mean_average_precision.py,method,MeanAveragePrecisionResult,map75,A,1,74,76
src/supervision/metrics/mean_average_precision.py,method,EvaluationDataset,empty,A,1,281,282
src/supervision/metrics/mean_average_precision.py,method,COCOEvaluatorParameters,__init__,A,1,551,580
src/supervision/metrics/mean_average_precision.py,method,MeanAveragePrecision,__init__,A,1,1264,1286
src/supervision/metrics/mean_average_precision.py,method,MeanAveragePrecision,reset,A,1,1288,1293
src/supervision/metrics/mean_average_recall.py,method,MeanAverageRecallResult,mAR_at_1,A,1,64,65
src/supervision/metrics/mean_average_recall.py,method,MeanAverageRecallResult,mAR_at_10,A,1,68,69
src/supervision/metrics/mean_average_recall.py,method,MeanAverageRecallResult,mAR_at_100,A,1,72,73
src/supervision/metrics/mean_average_recall.py,method,MeanAverageRecall,__init__,A,1,297,312
src/supervision/metrics/mean_average_recall.py,method,MeanAverageRecall,reset,A,1,314,319
src/supervision/metrics/mean_average_recall.py,method,MeanAverageRecall,compute,A,1,352,379
src/supervision/metrics/precision.py,method,Precision,__init__,A,1,69,86
src/supervision/metrics/precision.py,method,Precision,reset,A,1,88,93
src/supervision/metrics/precision.py,method,Precision,compute,A,1,126,153
src/supervision/metrics/precision.py,method,PrecisionResult,precision_at_50,A,1,555,556
src/supervision/metrics/precision.py,method,PrecisionResult,precision_at_75,A,1,559,560
src/supervision/metrics/recall.py,method,Recall,__init__,A,1,69,86
src/supervision/metrics/recall.py,method,Recall,reset,A,1,88,93
