arquivo,mi,rank_mi
src/supervision/annotators/core.py,0.5164,C
src/supervision/metrics/mean_average_precision.py,11.3722,B
src/supervision/detection/core.py,15.2378,B
src/supervision/detection/compact_mask.py,25.2684,A
src/supervision/detection/utils/converters.py,26.8962,A
src/supervision/detection/utils/iou_and_nms.py,27.2112,A
src/supervision/detection/vlm.py,30.8192,A
src/supervision/key_points/core.py,31.5011,A
src/supervision/detection/utils/boxes.py,35.6829,A
src/supervision/key_points/annotators.py,35.9604,A
src/supervision/metrics/detection.py,36.8864,A
src/supervision/metrics/f1_score.py,39.1873,A
src/supervision/metrics/precision.py,39.3635,A
src/supervision/validators/__init__.py,39.7549,A
src/supervision/utils/image.py,40.1759,A
src/supervision/metrics/recall.py,40.1938,A
src/supervision/metrics/mean_average_recall.py,40.3557,A
src/supervision/detection/line_zone.py,41.4361,A
src/supervision/dataset/core.py,41.662,A
src/supervision/detection/utils/internal.py,44.2639,A
src/supervision/tracker/byte_tracker/matching.py,45.3034,A
src/supervision/draw/color.py,45.5089,A
src/supervision/tracker/byte_tracker/single_object_track.py,47.7109,A
src/supervision/annotators/utils.py,48.6823,A
src/supervision/detection/tools/inference_slicer.py,48.7979,A
src/supervision/tracker/byte_tracker/core.py,49.8551,A
src/supervision/dataset/formats/yolo.py,50.1287,A
src/supervision/detection/utils/masks.py,50.8654,A
src/supervision/utils/video.py,51.6469,A
src/supervision/dataset/formats/coco.py,53.8773,A
src/supervision/metrics/utils/object_size.py,55.2499,A
src/supervision/classification/core.py,58.0643,A
src/supervision/utils/file.py,58.7438,A
src/supervision/detection/tools/smoother.py,58.7495,A
src/supervision/dataset/utils.py,59.6571,A
src/supervision/dataset/formats/pascal_voc.py,60.1652,A
src/supervision/utils/iterables.py,61.6627,A
src/supervision/geometry/core.py,61.7988,A
src/supervision/draw/utils.py,62.7434,A
src/supervision/detection/utils/polygons.py,63.2914,A
src/supervision/__init__.py,63.7401,A
src/supervision/detection/tools/csv_sink.py,65.8477,A
src/supervision/detection/tools/json_sink.py,66.2656,A
src/supervision/detection/utils/vlms.py,67.2802,A
src/supervision/tracker/byte_tracker/kalman_filter.py,67.8034,A
src/supervision/utils/internal.py,68.849,A
src/supervision/detection/tools/transformers.py,70.0376,A
src/supervision/geometry/utils.py,71.9062,A
src/supervision/detection/tools/polygon_zone.py,72.0269,A
src/supervision/utils/notebook.py,74.3167,A
src/supervision/assets/downloader.py,81.6542,A
src/supervision/utils/logger.py,86.5624,A
src/supervision/tracker/byte_tracker/utils.py,90.1454,A
src/supervision/config.py,100.0,A
src/supervision/annotators/base.py,100.0,A
src/supervision/annotators/__init__.py,100.0,A
src/supervision/assets/list.py,100.0,A
src/supervision/assets/__init__.py,100.0,A
src/supervision/classification/__init__.py,100.0,A
src/supervision/dataset/__init__.py,100.0,A
src/supervision/dataset/formats/__init__.py,100.0,A
src/supervision/detection/__init__.py,100.0,A
src/supervision/detection/tools/__init__.py,100.0,A
src/supervision/detection/utils/__init__.py,100.0,A
src/supervision/draw/base.py,100.0,A
src/supervision/draw/__init__.py,100.0,A
src/supervision/geometry/__init__.py,100.0,A
src/supervision/keypoint/annotators.py,100.0,A
src/supervision/keypoint/core.py,100.0,A
src/supervision/keypoint/__init__.py,100.0,A
src/supervision/key_points/skeletons.py,100.0,A
src/supervision/key_points/__init__.py,100.0,A
src/supervision/metrics/core.py,100.0,A
src/supervision/metrics/__init__.py,100.0,A
src/supervision/metrics/utils/utils.py,100.0,A
src/supervision/metrics/utils/__init__.py,100.0,A
src/supervision/tracker/__init__.py,100.0,A
src/supervision/tracker/byte_tracker/__init__.py,100.0,A
src/supervision/utils/conversion.py,100.0,A
src/supervision/utils/__init__.py,100.0,A
