arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
src/supervision/annotators/__init__.py,0,0,0,0,0,0,0
src/supervision/classification/__init__.py,0,0,0,0,0,0,0
src/supervision/dataset/__init__.py,0,0,0,0,0,0,0
src/supervision/dataset/formats/__init__.py,0,0,0,0,0,0,0
src/supervision/detection/__init__.py,0,0,0,0,0,0,0
src/supervision/detection/tools/__init__.py,0,0,0,0,0,0,0
src/supervision/detection/utils/__init__.py,0,0,0,0,0,0,0
src/supervision/draw/__init__.py,0,0,0,0,0,0,0
src/supervision/geometry/__init__.py,0,0,0,0,0,0,0
src/supervision/key_points/__init__.py,0,0,0,0,0,0,0
src/supervision/metrics/utils/__init__.py,0,0,0,0,0,0,0
src/supervision/tracker/__init__.py,0,0,0,0,0,0,0
src/supervision/tracker/byte_tracker/__init__.py,0,0,0,0,0,0,0
src/supervision/utils/__init__.py,0,0,0,0,0,0,0
src/supervision/config.py,13,6,3,10,0,0,10
src/supervision/assets/__init__.py,4,3,3,0,0,1,0
src/supervision/draw/base.py,14,6,5,0,6,3,0
src/supervision/keypoint/core.py,8,3,6,1,0,2,0
src/supervision/annotators/base.py,12,7,9,0,0,3,0
src/supervision/metrics/utils/utils.py,9,5,9,1,0,0,0
src/supervision/keypoint/annotators.py,13,3,11,1,0,2,0
src/supervision/keypoint/__init__.py,13,4,11,0,0,2,0
src/supervision/geometry/utils.py,51,15,14,2,23,12,2
src/supervision/tracker/byte_tracker/utils.py,37,19,16,0,12,8,1
src/supervision/metrics/core.py,72,28,22,0,35,15,0
src/supervision/utils/logger.py,63,24,25,0,23,15,0
src/supervision/utils/iterables.py,103,30,28,0,56,19,0
src/supervision/detection/utils/vlms.py,100,26,33,0,51,16,0
src/supervision/detection/utils/polygons.py,116,29,37,2,57,20,2
src/supervision/metrics/__init__.py,40,8,39,0,0,1,0
src/supervision/utils/notebook.py,117,36,45,0,50,22,0
src/supervision/assets/downloader.py,95,42,46,0,25,24,0
src/supervision/detection/tools/smoother.py,184,57,58,6,82,38,6
src/supervision/tracker/byte_tracker/matching.py,75,45,58,0,0,17,0
src/supervision/classification/core.py,200,64,60,0,94,46,0
src/supervision/assets/list.py,82,35,66,2,0,16,0
src/supervision/utils/file.py,211,72,67,2,104,40,0
src/supervision/geometry/core.py,202,82,77,0,86,39,0
src/supervision/utils/internal.py,208,57,77,0,90,41,0
src/supervision/metrics/utils/object_size.py,241,85,86,1,110,44,1
src/supervision/detection/tools/json_sink.py,215,71,87,0,92,36,0
src/supervision/utils/conversion.py,178,74,92,5,41,43,2
src/supervision/detection/tools/polygon_zone.py,203,61,105,0,70,28,0
src/supervision/detection/utils/boxes.py,417,100,108,5,234,71,4
src/supervision/detection/tools/transformers.py,250,68,109,0,100,41,0
src/supervision/tracker/byte_tracker/kalman_filter.py,193,65,113,0,49,31,0
src/supervision/detection/tools/csv_sink.py,241,85,116,0,88,37,0
src/supervision/dataset/utils.py,164,80,117,3,10,34,3
src/supervision/tracker/byte_tracker/single_object_track.py,186,137,140,0,15,30,1
src/supervision/detection/utils/converters.py,738,195,189,6,399,146,4
src/supervision/dataset/formats/pascal_voc.py,355,155,197,15,88,55,15
src/supervision/draw/utils.py,420,94,209,6,140,65,6
src/supervision/draw/color.py,572,166,217,3,237,118,0
src/supervision/tracker/byte_tracker/core.py,405,199,264,5,63,66,12
src/supervision/annotators/utils.py,487,195,266,5,129,90,2
src/supervision/detection/utils/internal.py,417,202,274,1,78,64,1
src/supervision/__init__.py,287,39,283,1,0,3,1
src/supervision/validators/__init__.py,363,151,291,15,8,61,3
src/supervision/detection/tools/inference_slicer.py,471,191,295,4,107,65,4
src/supervision/utils/video.py,509,206,295,10,136,70,8
src/supervision/detection/utils/masks.py,426,153,304,7,54,64,4
src/supervision/dataset/formats/yolo.py,477,185,319,2,99,57,2
src/supervision/dataset/formats/coco.py,621,194,339,13,187,82,13
src/supervision/metrics/recall.py,689,322,428,3,155,101,5
src/supervision/metrics/mean_average_recall.py,706,321,439,4,158,103,6
src/supervision/metrics/f1_score.py,722,334,442,12,166,100,14
src/supervision/dataset/core.py,969,267,448,2,389,128,4
src/supervision/metrics/precision.py,735,333,450,11,170,102,13
src/supervision/key_points/annotators.py,972,332,471,0,380,117,4
src/supervision/detection/compact_mask.py,1306,434,477,68,545,224,60
src/supervision/detection/line_zone.py,873,307,525,2,224,122,2
src/supervision/metrics/detection.py,1120,359,546,27,415,134,25
src/supervision/detection/vlm.py,918,415,565,13,190,153,10
src/supervision/utils/image.py,924,280,653,8,145,126,0
src/supervision/detection/utils/iou_and_nms.py,1453,527,700,40,502,215,36
src/supervision/key_points/core.py,1294,367,702,11,359,227,6
src/supervision/metrics/mean_average_precision.py,1520,660,954,138,222,204,140
src/supervision/annotators/core.py,3294,1020,1730,28,1141,405,18
src/supervision/detection/core.py,2934,612,1748,21,640,534,12
src/supervision/key_points/skeletons.py,2646,15,2636,0,0,10,0
TOTAL,33953,10762,19554,522,9129,4808,462
